CountryName,CountryCode,Year,GDP,HBD,ATE
Albania,ALB,2010,11926922828.9911,2.99,100.0
American Samoa,ASM,2010,573000000.0,3.569684210526317,92.16536108318128
Andorra,AND,2010,3449925738.86069,3.569684210526317,100.0
Armenia,ARM,2010,9260284937.79781,3.73,99.8000030517578
Australia,AUS,2010,1147589183475.73,3.78,100.0
Austria,AUT,2010,392275107258.667,7.65,100.0
Azerbaijan,AZE,2010,52909294791.9262,5.06,99.9437942504883
Belarus,BLR,2010,57222490768.7143,11.45,100.0
Belgium,BEL,2010,481420882905.001,6.12,100.0
Bosnia and Herzegovina,BIH,2010,17176781065.8902,3.4,100.0
Brunei Darussalam,BRN,2010,13707370737.0737,2.46,100.0
Bulgaria,BGR,2010,50682061053.2016,6.62,100.0
Cambodia,KHM,2010,11242275198.9783,0.84,31.1000003814697
Channel Islands,CHI,2010,395967329824.6849,3.569684210526317,100.0
China,CHN,2010,6087163874510.73,2.47,99.6999969482422
Croatia,HRV,2010,60426018629.2992,5.78,100.0
Cyprus,CYP,2010,25732432719.0773,3.57,100.0
Czechia,CZE,2010,209069940963.177,7.3,100.0
Denmark,DNK,2010,321995279401.502,3.5,100.0
Estonia,EST,2010,19523477325.6235,5.27,100.0
Faroe Islands,FRO,2010,2322202663.53728,3.569684210526317,100.0
Fiji,FJI,2010,3140508835.9485,3.569684210526317,89.2485809326172
Finland,FIN,2010,249424310816.667,5.85,100.0
France,FRA,2010,2645187882116.67,6.43,100.0
French Polynesia,PYF,2010,395967329824.6849,3.569684210526317,100.0
Georgia,GEO,2010,12243505582.6741,2.99,100.0
Germany,DEU,2010,3399667820000.01,8.25,100.0
Gibraltar,GIB,2010,395967329824.6849,3.569684210526317,100.0
Greece,GRC,2010,297124961971.501,4.48,100.0
Greenland,GRL,2010,2503156060.52524,3.569684210526317,100.0
Guam,GUM,2010,4949000000.0,3.569684210526317,100.0
"Hong Kong SAR, China",HKG,2010,228637697575.04,3.569684210526317,100.0
Hungary,HUN,2010,132231134158.608,7.18,100.0
Iceland,ISL,2010,13751161917.7398,3.58,100.0
Indonesia,IDN,2010,755094160363.071,0.57,94.1500015258789
Ireland,IRL,2010,221876011283.5,2.73,100.0
Isle of Man,IMN,2010,5920177688.50433,3.569684210526317,100.0
Italy,ITA,2010,2136099955236.67,3.64,100.0
Japan,JPN,2010,5759071769013.11,13.51,100.0
Kazakhstan,KAZ,2010,148047348240.643,7.29,100.0
Kiribati,KIR,2010,155299728.488133,1.4,63.1677360534668
"Korea, Dem. People's Rep.",PRK,2010,395967329824.6849,14.3,29.2511825561523
"Korea, Rep.",KOR,2010,1144066965324.49,8.74,100.0
Kosovo,XKX,2010,5344014317.91065,3.569684210526317,99.0
Kyrgyz Republic,KGZ,2010,4794357795.07139,4.76,99.0
Lao PDR,LAO,2010,7131773632.71369,0.7,70.1499404907227
Latvia,LVA,2010,23956163076.5575,5.68,100.0
Liechtenstein,LIE,2010,5082366478.08994,3.569684210526317,100.0
Lithuania,LTU,2010,37128694028.243,7.16,100.0
Luxembourg,LUX,2010,56213985987.4168,5.37,100.0
"Macao SAR, China",MAC,2010,28241858488.9155,3.569684210526317,100.0
Malaysia,MYS,2010,255016609232.871,1.8,99.3740539550781
Marshall Islands,MHL,2010,160407100.0,2.7,89.23388671875
"Micronesia, Fed. Sts.",FSM,2010,296944100.0,3.569684210526317,64.5315170288086
Moldova,MDA,2010,6974982392.67155,6.18,100.0
Monaco,MCO,2010,5367625613.15127,3.569684210526317,100.0
Mongolia,MNG,2010,7189481824.07288,6.0,78.502082824707
Montenegro,MNE,2010,4143033275.88493,3.98,100.0
Myanmar,MMR,2010,37796052938.7278,3.569684210526317,48.7999992370605
Nauru,NRU,2010,47564520.3910861,5.0,99.1706314086914
Netherlands,NLD,2010,847380859016.668,4.05,100.0
New Caledonia,NCL,2010,9364347372.04626,3.569684210526317,100.0
New Zealand,NZL,2010,146517541181.254,2.75,100.0
North Macedonia,MKD,2010,9407168702.4313,4.59,100.0
Northern Mariana Islands,MNP,2010,799000000.0,3.569684210526317,100.0
Norway,NOR,2010,428757038466.841,4.3,100.0
Palau,PLW,2010,185943000.0,4.8,98.7126159667969
Papua New Guinea,PNG,2010,14250755231.1257,3.569684210526317,19.5
Philippines,PHL,2010,208368726861.407,1.06,85.3976440429688
Poland,POL,2010,479834179020.33,6.61,100.0
Portugal,PRT,2010,238113003233.284,3.37,100.0
Romania,ROU,2010,166309355234.589,6.28,100.0
Russian Federation,RUS,2010,1524917468442.01,9.41,100.0
Samoa,WSM,2010,663161528.405016,3.569684210526317,96.3610534667969
San Marino,SMR,2010,1881214370.93994,3.569684210526317,100.0
Serbia,SRB,2010,41819468691.8251,5.4,99.7183990478516
Singapore,SGP,2010,239809387605.427,3.569684210526317,100.0
Slovak Republic,SVK,2010,90801178162.2502,6.46,100.0
Slovenia,SVN,2010,48208240226.4501,4.57,100.0
Solomon Islands,SLB,2010,846767635.935272,3.569684210526317,34.7748069763184
Spain,ESP,2010,1422108199783.34,3.11,100.0
Sweden,SWE,2010,495812558843.31,2.73,100.0
Switzerland,CHE,2010,603434493402.679,5.19,100.0
Tajikistan,TJK,2010,5642178579.58438,5.08,98.671501159668
Thailand,THA,2010,341104820155.464,2.1,99.6999969482422
Timor-Leste,TLS,2010,881827800.0,5.9,38.0
Tonga,TON,2010,366840012.442325,2.6,92.6767196655273
Turkiye,TUR,2010,776992599946.766,2.74,100.0
Turkmenistan,TKM,2010,22583157894.7368,4.1,100.0
Tuvalu,TUV,2010,32104201.0640249,3.569684210526317,96.6302719116211
Ukraine,UKR,2010,141209864408.488,9.38,100.0
United Kingdom,GBR,2010,2491110093454.18,2.93,100.0
Uzbekistan,UZB,2010,49765676402.4495,4.44,99.9128875732422
Vanuatu,VUT,2010,670713208.084552,3.569684210526317,44.0999984741211
Vietnam,VNM,2010,147198853578.923,2.91,97.4300003051758
Albania,ALB,2011,12890764531.3284,2.88,100.0
American Samoa,ASM,2011,570000000.0,3.3884210526315792,91.82511016444155
Andorra,AND,2011,3629133574.27783,3.3884210526315792,100.0
Armenia,ARM,2011,10142111334.4961,3.74,99.6057968139648
Australia,AUS,2011,1397907916789.9,3.79,100.0
Austria,AUT,2011,431685217367.511,7.68,100.0
Azerbaijan,AZE,2011,65951627200.2026,4.62,99.9000015258789
Belarus,BLR,2011,61757788944.7236,11.25,100.0
Belgium,BEL,2011,523330354138.133,6.05,100.0
Bosnia and Herzegovina,BIH,2011,18644723860.9709,3.46,99.7057800292969
Brunei Darussalam,BRN,2011,18525319977.7407,2.46,100.0
Bulgaria,BGR,2011,57678241023.818,6.45,100.0
Cambodia,KHM,2011,12829541141.0127,0.7,50.3072624206543
Channel Islands,CHI,2011,448284015553.5991,3.3884210526315792,100.0
China,CHN,2011,7551500124197.17,2.69,99.8487243652344
Croatia,HRV,2011,63169910822.1285,5.84,100.0
Cyprus,CYP,2011,27565469097.9955,3.51,100.0
Czechia,CZE,2011,229562733398.948,7.06,100.0
Denmark,DNK,2011,344003137611.271,3.13,100.0
Estonia,EST,2011,23213994093.4631,5.36,100.0
Faroe Islands,FRO,2011,2499152495.01742,3.3884210526315792,100.0
Fiji,FJI,2011,3774530615.65916,2.19,90.146125793457
Finland,FIN,2011,275604356167.316,5.52,100.0
France,FRA,2011,2865157541994.17,6.36,100.0
French Polynesia,PYF,2011,448284015553.5991,3.3884210526315792,100.0
Georgia,GEO,2011,15107441446.7833,2.81,100.0
Germany,DEU,2011,3749314991050.59,8.38,100.0
Gibraltar,GIB,2011,448284015553.5991,3.3884210526315792,100.0
Greece,GRC,2011,282995942006.557,4.47,100.0
Greenland,GRL,2011,2684467375.71479,3.3884210526315792,100.0
Guam,GUM,2011,4984000000.0,3.3884210526315792,100.0
"Hong Kong SAR, China",HKG,2011,248513617677.287,3.3884210526315792,100.0
Hungary,HUN,2011,141999960209.893,7.19,100.0
Iceland,ISL,2011,15221622925.9319,3.29,100.0
Indonesia,IDN,2011,892969107923.094,0.62,94.8300018310547
Ireland,IRL,2011,238975558966.528,2.62,100.0
Isle of Man,IMN,2011,6566098381.6696,3.3884210526315792,100.0
Italy,ITA,2011,2294994296589.5,3.52,100.0
Japan,JPN,2011,6233147172341.35,13.4,100.0
Kazakhstan,KAZ,2011,192626507971.584,7.11,99.7974700927734
Kiribati,KIR,2011,180665807.21513,1.3,74.8437347412109
"Korea, Dem. People's Rep.",PRK,2011,448284015553.5991,3.3884210526315792,31.4920024871826
"Korea, Rep.",KOR,2011,1253223044718.99,9.53,100.0
Kosovo,XKX,2011,6341737193.76392,3.3884210526315792,91.82511016444155
Kyrgyz Republic,KGZ,2011,6197766118.59856,4.7,98.3199996948242
Lao PDR,LAO,2011,8750107401.57872,3.3884210526315792,70.0
Latvia,LVA,2011,27474380566.265,5.88,100.0
Liechtenstein,LIE,2011,5739977477.47748,3.3884210526315792,100.0
Lithuania,LTU,2011,43535051482.3869,7.43,100.0
Luxembourg,LUX,2011,61696281326.2453,5.28,100.0
"Macao SAR, China",MAC,2011,36845925519.4433,3.3884210526315792,100.0
Malaysia,MYS,2011,297951960784.314,1.79,99.4654693603516
Marshall Islands,MHL,2011,172188500.0,3.3884210526315792,89.9196090698242
"Micronesia, Fed. Sts.",FSM,2011,311301600.0,3.3884210526315792,66.5939865112305
Moldova,MDA,2011,8414351671.95869,6.19,100.0
Monaco,MCO,2011,6088808463.25167,16.46,100.0
Mongolia,MNG,2011,10409797649.3063,6.75,72.0570755004883
Montenegro,MNE,2011,4544516982.18263,3.98,99.0
Myanmar,MMR,2011,54118601974.7947,3.3884210526315792,54.0064277648926
Nauru,NRU,2011,66055407.6703145,3.3884210526315792,99.0
Netherlands,NLD,2011,905270626332.687,3.84,100.0
New Caledonia,NCL,2011,10351442208.992,3.3884210526315792,100.0
New Zealand,NZL,2011,168291357111.739,2.82,100.0
North Macedonia,MKD,2011,10494632699.3859,4.51,99.7261657714844
Northern Mariana Islands,MNP,2011,729000000.0,3.3884210526315792,100.0
Norway,NOR,2011,498283438454.281,4.19,100.0
Palau,PLW,2011,196911100.0,3.3884210526315792,98.807502746582
Papua New Guinea,PNG,2011,17984910501.8979,3.3884210526315792,32.9173202514648
Philippines,PHL,2011,234216930369.796,1.07,87.1999969482422
Poland,POL,2011,528301269069.799,6.63,100.0
Portugal,PRT,2011,245117990242.248,3.37,100.0
Romania,ROU,2011,183326740143.016,6.31,100.0
Russian Federation,RUS,2011,2045925608274.37,9.42,100.0
Samoa,WSM,2011,737401684.079882,3.3884210526315792,96.668571472168
San Marino,SMR,2011,1813752783.96437,3.85,100.0
Serbia,SRB,2011,49258136128.9672,5.43,100.0
Singapore,SGP,2011,279351168707.267,2.0,100.0
Slovak Republic,SVK,2011,99492917848.5897,6.05,100.0
Slovenia,SVN,2011,51583869785.1849,4.62,100.0
Solomon Islands,SLB,2011,1049889691.54463,1.66,38.6799926757813
Spain,ESP,2011,1480710495710.12,3.05,100.0
Sweden,SWE,2011,574094112972.733,2.7,100.0
Switzerland,CHE,2011,722038242134.62,5.05,100.0
Tajikistan,TJK,2011,6522732202.50748,4.95,98.7168579101563
Thailand,THA,2011,370819140946.553,3.3884210526315792,99.3518371582031
Timor-Leste,TLS,2011,1042411500.0,3.3884210526315792,52.6573677062988
Tonga,TON,2011,414523388.461329,3.3884210526315792,92.1754531860352
Turkiye,TUR,2011,838762755164.179,2.62,100.0
Turkmenistan,TKM,2011,29233333333.3333,4.07,99.8774108886719
Tuvalu,TUV,2011,39195461.5781331,3.3884210526315792,96.8707504272461
Ukraine,UKR,2011,169333048847.834,9.05,100.0
United Kingdom,GBR,2011,2674891473843.81,2.88,100.0
Uzbekistan,UZB,2011,60178909297.208,4.32,99.9614410400391
Vanuatu,VUT,2011,770153304.153832,3.3884210526315792,41.9353294372559
Vietnam,VNM,2011,172595960457.831,3.3884210526315792,99.0
Albania,ALB,2012,12319830437.3467,2.88,99.9000015258789
American Samoa,ASM,2012,640000000.0,3.4463157894736858,93.36750255383944
Andorra,AND,2012,3188652765.36184,3.4463157894736858,100.0
Armenia,ARM,2012,10619320048.5857,4.05,99.6289672851563
Australia,AUS,2012,1546508558465.66,3.75,100.0
Austria,AUT,2012,409401816050.531,7.67,100.0
Azerbaijan,AZE,2012,69683935845.2139,4.65,100.0
Belarus,BLR,2012,65685102554.8759,11.27,100.0
Belgium,BEL,2012,496152879924.727,5.99,100.0
Bosnia and Herzegovina,BIH,2012,17221192487.0296,3.5,100.0
Brunei Darussalam,BRN,2012,19047940300.8963,2.44,100.0
Bulgaria,BGR,2012,54300857424.4415,6.61,100.0
Cambodia,KHM,2012,14054443213.4639,3.4463157894736858,53.9305648803711
Channel Islands,CHI,2012,453739518693.16473,3.4463157894736858,100.0
China,CHN,2012,8532229986993.65,3.01,99.9619293212891
Croatia,HRV,2012,57192346923.335,5.89,100.0
Cyprus,CYP,2012,24978513426.6992,3.46,100.0
Czechia,CZE,2012,208857719320.649,6.93,100.0
Denmark,DNK,2012,327148943812.137,3.4463157894736858,100.0
Estonia,EST,2012,23019150071.1867,5.53,100.0
Faroe Islands,FRO,2012,2414380664.65257,3.4463157894736858,100.0
Fiji,FJI,2012,3972012570.53467,3.4463157894736858,91.0708312988281
Finland,FIN,2012,258290060227.734,5.3,100.0
France,FRA,2012,2683671716967.19,6.34,100.0
French Polynesia,PYF,2012,453739518693.16473,3.4463157894736858,100.0
Georgia,GEO,2012,16488403076.3641,2.53,100.0
Germany,DEU,2012,3527143188785.16,8.34,100.0
Gibraltar,GIB,2012,453739518693.16473,3.4463157894736858,100.0
Greece,GRC,2012,242029307133.408,4.45,100.0
Greenland,GRL,2012,2609667673.71601,3.4463157894736858,100.0
Guam,GUM,2012,5265000000.0,3.4463157894736858,100.0
"Hong Kong SAR, China",HKG,2012,262629441493.476,3.4463157894736858,100.0
Hungary,HUN,2012,128857370476.631,7.0,100.0
Iceland,ISL,2012,14751508133.5443,3.25,100.0
Indonesia,IDN,2012,917869910105.749,0.83,96.0
Ireland,IRL,2012,225496810956.67,2.54,100.0
Isle of Man,IMN,2012,6690725118.48341,3.4463157894736858,100.0
Italy,ITA,2012,2086957656821.6,3.42,100.0
Japan,JPN,2012,6272362996105.03,13.35,100.0
Kazakhstan,KAZ,2012,207998568865.789,7.01,100.0
Kiribati,KIR,2012,189630114.855587,3.4463157894736858,76.6912612915039
"Korea, Dem. People's Rep.",PRK,2012,453739518693.16473,13.2,33.7508888244629
"Korea, Rep.",KOR,2012,1278427634342.59,10.25,100.0
Kosovo,XKX,2012,6163785172.81254,3.4463157894736858,99.75
Kyrgyz Republic,KGZ,2012,6605139933.41063,4.64,99.8000030517578
Lao PDR,LAO,2012,10192848926.2582,1.5,76.3666305541992
Latvia,LVA,2012,28169902669.3784,5.89,100.0
Liechtenstein,LIE,2012,5456009384.66461,3.4463157894736858,100.0
Lithuania,LTU,2012,42927454291.478,7.45,100.0
Luxembourg,LUX,2012,59776383527.3602,5.15,100.0
"Macao SAR, China",MAC,2012,43189526777.5567,3.4463157894736858,100.0
Malaysia,MYS,2012,314443149443.149,1.9,99.8000030517578
Marshall Islands,MHL,2012,180436300.0,3.4463157894736858,90.5608062744141
"Micronesia, Fed. Sts.",FSM,2012,327248700.0,3.4463157894736858,68.4323654174805
Moldova,MDA,2012,8709138764.75916,6.23,100.0
Monaco,MCO,2012,5743029680.07195,13.8,100.0
Mongolia,MNG,2012,12292770631.1967,7.0,84.4836120605469
Montenegro,MNE,2012,4087725812.66864,3.97,100.0
Myanmar,MMR,2012,58318677644.9492,0.9,55.1679344177246
Nauru,NRU,2012,96927201.4848422,3.4463157894736858,99.2164459228516
Netherlands,NLD,2012,838923319919.531,3.75,100.0
New Caledonia,NCL,2012,9659153061.35633,3.4463157894736858,100.0
New Zealand,NZL,2012,176206659722.524,2.83,100.0
North Macedonia,MKD,2012,9745251126.0109,4.4,100.0
Northern Mariana Islands,MNP,2012,746000000.0,3.4463157894736858,100.0
Norway,NOR,2012,509506317146.541,3.97,100.0
Palau,PLW,2012,212397800.0,3.4463157894736858,97.6304244995117
Papua New Guinea,PNG,2012,21295659243.6168,3.4463157894736858,35.2758865356445
Philippines,PHL,2012,261920509950.555,1.05,87.0800018310547
Poland,POL,2012,498523568248.119,6.63,100.0
Portugal,PRT,2012,216224240577.957,3.41,100.0
Romania,ROU,2012,170635805316.879,6.6,100.0
Russian Federation,RUS,2012,2208295773643.15,9.3,100.0
Samoa,WSM,2012,760549577.698957,3.4463157894736858,96.8269348144531
San Marino,SMR,2012,1604779647.95066,3.8,100.0
Serbia,SRB,2012,43309252921.0567,5.44,100.0
Singapore,SGP,2012,295087220933.024,3.4463157894736858,100.0
Slovak Republic,SVK,2012,94253181330.3891,5.91,100.0
Slovenia,SVN,2012,46577793184.0031,4.54,100.0
Solomon Islands,SLB,2012,1191045573.19991,1.4,42.5742111206055
Spain,ESP,2012,1324744314781.64,2.99,100.0
Sweden,SWE,2012,552483727282.802,2.66,100.0
Switzerland,CHE,2012,692109693986.886,4.97,100.0
Tajikistan,TJK,2012,7633049792.09321,4.83,99.0999984741211
Thailand,THA,2012,397558222957.17,3.4463157894736858,99.1086273193359
Timor-Leste,TLS,2012,1160389500.0,3.4463157894736858,55.8999557495117
Tonga,TON,2012,470714083.426751,3.4463157894736858,92.8000030517578
Turkiye,TUR,2012,880556375779.51,2.66,100.0
Turkmenistan,TKM,2012,35164210526.3158,3.98,99.8958358764648
Tuvalu,TUV,2012,39345620.2112239,3.4463157894736858,97.6717758178711
Ukraine,UKR,2012,182592416468.527,8.91,99.8674926757813
United Kingdom,GBR,2012,2719158341005.79,2.81,100.0
Uzbekistan,UZB,2012,67517349212.0609,4.19,99.9898223876953
Vanuatu,VUT,2012,747839697.746593,3.4463157894736858,43.7895278930664
Vietnam,VNM,2012,195592471672.748,2.5,97.8899993896484
Albania,ALB,2013,12776220507.0162,2.89,100.0
American Samoa,ASM,2013,638000000.0,3.049894736842105,93.49217613621762
Andorra,AND,2013,3193512950.02419,3.049894736842105,100.0
Armenia,ARM,2013,11121465767.4067,4.06,99.4199981689453
Australia,AUS,2013,1576335282651.07,3.74,100.0
Austria,AUT,2013,430190979705.962,7.64,100.0
Azerbaijan,AZE,2013,74164435946.4627,4.69,100.0
Belarus,BLR,2013,75527984234.2342,11.05,100.0
Belgium,BEL,2013,521791015247.06,5.93,100.0
Bosnia and Herzegovina,BIH,2013,18172335776.3301,3.5,99.5
Brunei Darussalam,BRN,2013,18093829923.2737,2.42,100.0
Bulgaria,BGR,2013,55810138436.4821,6.82,100.0
Cambodia,KHM,2013,15227991395.2201,0.7,57.5736961364746
Channel Islands,CHI,2013,466785341062.932,3.049894736842105,100.0
China,CHN,2013,9570406235659.64,3.29,99.9964447021484
Croatia,HRV,2013,58889082315.336,5.86,100.0
Cyprus,CYP,2013,23900872625.8467,3.41,100.0
Czechia,CZE,2013,211685616592.931,6.7,100.0
Denmark,DNK,2013,343584391647.927,3.07,100.0
Estonia,EST,2013,25115753366.1114,5.01,100.0
Faroe Islands,FRO,2013,2677296440.7172,3.049894736842105,100.0
Fiji,FJI,2013,4190143206.25611,2.19,91.75
Finland,FIN,2013,271362405890.589,4.87,100.0
France,FRA,2013,2811876903329.03,6.28,100.0
French Polynesia,PYF,2013,466785341062.932,3.049894736842105,100.0
Georgia,GEO,2013,17189551520.9811,2.59,100.0
Germany,DEU,2013,3733804649549.03,8.28,100.0
Gibraltar,GIB,2013,466785341062.932,3.049894736842105,100.0
Greece,GRC,2013,238907690051.13,4.24,100.0
Greenland,GRL,2013,2684952726.88425,3.049894736842105,100.0
Guam,GUM,2013,5399000000.0,3.049894736842105,100.0
"Hong Kong SAR, China",HKG,2013,275696879834.966,3.049894736842105,100.0
Hungary,HUN,2013,135732595721.853,7.04,100.0
Iceland,ISL,2013,16125060515.3117,3.22,100.0
Indonesia,IDN,2013,912524136718.018,0.99,96.4642562866211
Ireland,IRL,2013,238279269750.987,2.56,100.0
Isle of Man,IMN,2013,7000748788.49461,3.049894736842105,100.0
Italy,ITA,2013,2141924094298.56,3.31,100.0
Japan,JPN,2013,5212328181166.18,13.3,100.0
Kazakhstan,KAZ,2013,236634552078.102,6.72,100.0
Kiribati,KIR,2013,184550740.142316,3.049894736842105,78.9310607910156
"Korea, Dem. People's Rep.",PRK,2013,466785341062.932,3.049894736842105,36.0296058654785
"Korea, Rep.",KOR,2013,1370795199976.18,10.92,100.0
Kosovo,XKX,2013,6735731172.79851,3.049894736842105,99.75
Kyrgyz Republic,KGZ,2013,7335027591.91628,4.51,98.9300003051758
Lao PDR,LAO,2013,11983252611.2727,3.049894736842105,79.5762557983398
Latvia,LVA,2013,30204783461.8488,5.8,100.0
Liechtenstein,LIE,2013,6391735893.83968,3.049894736842105,100.0
Lithuania,LTU,2013,46523420074.4372,7.31,100.0
Luxembourg,LUX,2013,65203276466.9763,5.17,100.0
"Macao SAR, China",MAC,2013,51536304807.6803,3.049894736842105,100.0
Malaysia,MYS,2013,323277158906.979,3.049894736842105,99.6044464111328
Marshall Islands,MHL,2013,184840400.0,3.049894736842105,91.1968536376953
"Micronesia, Fed. Sts.",FSM,2013,317214400.0,3.049894736842105,70.2488174438477
Moldova,MDA,2013,9496717702.44839,5.83,100.0
Monaco,MCO,2013,6555983530.34932,3.049894736842105,100.0
Mongolia,MNG,2013,12582122604.1921,3.049894736842105,81.1999969482422
Montenegro,MNE,2013,4465771672.62005,3.89,99.6999969482422
Myanmar,MMR,2013,60572257122.2962,3.049894736842105,56.3492736816406
Nauru,NRU,2013,98491843.6441982,3.049894736842105,99.2682113647461
Netherlands,NLD,2013,877172824534.512,3.61,100.0
New Caledonia,NCL,2013,10151385305.7645,3.049894736842105,100.0
New Zealand,NZL,2013,190906575136.003,2.78,100.0
North Macedonia,MKD,2013,10817712138.9451,4.45,100.0
