CountryName,CountryCode,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Albania,ALB,100.0,100.0,99.9000015258789,100.0,99.9499969482422,99.9800033569336,99.8899993896484,99.8899993896484,100.0,100.0,100.0,0.0
American Samoa,ASM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andorra,AND,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Armenia,ARM,99.8000030517578,99.6057968139648,99.6289672851563,99.4199981689453,99.7099990844727,100.0,99.8000030517578,99.6999969482422,99.9000015258789,100.0,100.0,0.0
Australia,AUS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Austria,AUT,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Azerbaijan,AZE,99.9437942504883,99.9000015258789,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Belarus,BLR,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Belgium,BEL,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Bosnia and Herzegovina,BIH,100.0,99.7057800292969,100.0,99.5,100.0,99.6999969482422,100.0,100.0,100.0,100.0,100.0,0.0
Brunei Darussalam,BRN,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Bulgaria,BGR,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.6999969482422,0.0
Cambodia,KHM,31.1000003814697,50.3072624206543,53.9305648803711,57.5736961364746,56.0999984741211,64.9104232788086,69.5443115234375,89.0699996948242,81.0756530761719,84.0,86.4000015258789,0.0
Channel Islands,CHI,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
China,CHN,99.6999969482422,99.8487243652344,99.9619293212891,99.9964447021484,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Croatia,HRV,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Cyprus,CYP,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Czechia,CZE,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Denmark,DNK,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Estonia,EST,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Faroe Islands,FRO,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Fiji,FJI,89.2485809326172,90.146125793457,91.0708312988281,91.75,93.7866058349609,95.1682434082031,96.5617446899414,96.0,99.3725051879883,99.7158813476563,100.0,0.0
Finland,FIN,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
France,FRA,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
French Polynesia,PYF,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
