CountryName,CountryCode,Year,ATE
Albania,ALB,2010,100.0
American Samoa,ASM,2010,92.16536108318128
Andorra,AND,2010,100.0
Armenia,ARM,2010,99.8000030517578
Australia,AUS,2010,100.0
Austria,AUT,2010,100.0
Azerbaijan,AZE,2010,99.9437942504883
Belarus,BLR,2010,100.0
Belgium,BEL,2010,100.0
Bosnia and Herzegovina,BIH,2010,100.0
Brunei Darussalam,BRN,2010,100.0
Bulgaria,BGR,2010,100.0
Cambodia,KHM,2010,31.1000003814697
Channel Islands,CHI,2010,100.0
China,CHN,2010,99.6999969482422
Croatia,HRV,2010,100.0
Cyprus,CYP,2010,100.0
Czechia,CZE,2010,100.0
Denmark,DNK,2010,100.0
Estonia,EST,2010,100.0
Faroe Islands,FRO,2010,100.0
Fiji,FJI,2010,89.2485809326172
Finland,FIN,2010,100.0
France,FRA,2010,100.0
French Polynesia,PYF,2010,100.0
Georgia,GEO,2010,100.0
Germany,DEU,2010,100.0
Gibraltar,GIB,2010,100.0
Greece,GRC,2010,100.0
Greenland,GRL,2010,100.0
Guam,GUM,2010,100.0
"Hong Kong SAR, China",HKG,2010,100.0
Hungary,HUN,2010,100.0
Iceland,ISL,2010,100.0
Indonesia,IDN,2010,94.1500015258789
Ireland,IRL,2010,100.0
Isle of Man,IMN,2010,100.0
Italy,ITA,2010,100.0
Japan,JPN,2010,100.0
Kazakhstan,KAZ,2010,100.0
Kiribati,KIR,2010,63.1677360534668
"Korea, Dem. People's Rep.",PRK,2010,29.2511825561523
"Korea, Rep.",KOR,2010,100.0
Kosovo,XKX,2010,99.0
Kyrgyz Republic,KGZ,2010,99.0
Lao PDR,LAO,2010,70.1499404907227
Latvia,LVA,2010,100.0
Liechtenstein,LIE,2010,100.0
Lithuania,LTU,2010,100.0
Luxembourg,LUX,2010,100.0
"Macao SAR, China",MAC,2010,100.0
Malaysia,MYS,2010,99.3740539550781
Marshall Islands,MHL,2010,89.23388671875
"Micronesia, Fed. Sts.",FSM,2010,64.5315170288086
Moldova,MDA,2010,100.0
Monaco,MCO,2010,100.0
Mongolia,MNG,2010,78.502082824707
Montenegro,MNE,2010,100.0
Myanmar,MMR,2010,48.7999992370605
Nauru,NRU,2010,99.1706314086914
Netherlands,NLD,2010,100.0
New Caledonia,NCL,2010,100.0
New Zealand,NZL,2010,100.0
North Macedonia,MKD,2010,100.0
Northern Mariana Islands,MNP,2010,100.0
Norway,NOR,2010,100.0
Palau,PLW,2010,98.7126159667969
Papua New Guinea,PNG,2010,19.5
Philippines,PHL,2010,85.3976440429688
Poland,POL,2010,100.0
Portugal,PRT,2010,100.0
Romania,ROU,2010,100.0
Russian Federation,RUS,2010,100.0
Samoa,WSM,2010,96.3610534667969
San Marino,SMR,2010,100.0
Serbia,SRB,2010,99.7183990478516
Singapore,SGP,2010,100.0
Slovak Republic,SVK,2010,100.0
Slovenia,SVN,2010,100.0
Solomon Islands,SLB,2010,34.7748069763184
Spain,ESP,2010,100.0
Sweden,SWE,2010,100.0
Switzerland,CHE,2010,100.0
Tajikistan,TJK,2010,98.671501159668
Thailand,THA,2010,99.6999969482422
Timor-Leste,TLS,2010,38.0
Tonga,TON,2010,92.6767196655273
Turkiye,TUR,2010,100.0
Turkmenistan,TKM,2010,100.0
Tuvalu,TUV,2010,96.6302719116211
Ukraine,UKR,2010,100.0
United Kingdom,GBR,2010,100.0
Uzbekistan,UZB,2010,99.9128875732422
Vanuatu,VUT,2010,44.0999984741211
Vietnam,VNM,2010,97.4300003051758
Albania,ALB,2011,100.0
American Samoa,ASM,2011,91.82511016444155
Andorra,AND,2011,100.0
Armenia,ARM,2011,99.6057968139648
Australia,AUS,2011,100.0
Austria,AUT,2011,100.0
Azerbaijan,AZE,2011,99.9000015258789
Belarus,BLR,2011,100.0
Belgium,BEL,2011,100.0
Bosnia and Herzegovina,BIH,2011,99.7057800292969
Brunei Darussalam,BRN,2011,100.0
Bulgaria,BGR,2011,100.0
Cambodia,KHM,2011,50.3072624206543
Channel Islands,CHI,2011,100.0
China,CHN,2011,99.8487243652344
Croatia,HRV,2011,100.0
Cyprus,CYP,2011,100.0
Czechia,CZE,2011,100.0
Denmark,DNK,2011,100.0
Estonia,EST,2011,100.0
Faroe Islands,FRO,2011,100.0
Fiji,FJI,2011,90.146125793457
Finland,FIN,2011,100.0
France,FRA,2011,100.0
French Polynesia,PYF,2011,100.0
Georgia,GEO,2011,100.0
Germany,DEU,2011,100.0
Gibraltar,GIB,2011,100.0
Greece,GRC,2011,100.0
Greenland,GRL,2011,100.0
Guam,GUM,2011,100.0
"Hong Kong SAR, China",HKG,2011,100.0
Hungary,HUN,2011,100.0
Iceland,ISL,2011,100.0
Indonesia,IDN,2011,94.8300018310547
Ireland,IRL,2011,100.0
Isle of Man,IMN,2011,100.0
Italy,ITA,2011,100.0
Japan,JPN,2011,100.0
Kazakhstan,KAZ,2011,99.7974700927734
Kiribati,KIR,2011,74.8437347412109
"Korea, Dem. People's Rep.",PRK,2011,31.4920024871826
"Korea, Rep.",KOR,2011,100.0
Kosovo,XKX,2011,91.82511016444155
Kyrgyz Republic,KGZ,2011,98.3199996948242
Lao PDR,LAO,2011,70.0
Latvia,LVA,2011,100.0
Liechtenstein,LIE,2011,100.0
Lithuania,LTU,2011,100.0
Luxembourg,LUX,2011,100.0
"Macao SAR, China",MAC,2011,100.0
Malaysia,MYS,2011,99.4654693603516
Marshall Islands,MHL,2011,89.9196090698242
"Micronesia, Fed. Sts.",FSM,2011,66.5939865112305
Moldova,MDA,2011,100.0
Monaco,MCO,2011,100.0
Mongolia,MNG,2011,72.0570755004883
Montenegro,MNE,2011,99.0
Myanmar,MMR,2011,54.0064277648926
Nauru,NRU,2011,99.0
Netherlands,NLD,2011,100.0
New Caledonia,NCL,2011,100.0
New Zealand,NZL,2011,100.0
North Macedonia,MKD,2011,99.7261657714844
Northern Mariana Islands,MNP,2011,100.0
Norway,NOR,2011,100.0
Palau,PLW,2011,98.807502746582
Papua New Guinea,PNG,2011,32.9173202514648
Philippines,PHL,2011,87.1999969482422
Poland,POL,2011,100.0
Portugal,PRT,2011,100.0
Romania,ROU,2011,100.0
Russian Federation,RUS,2011,100.0
Samoa,WSM,2011,96.668571472168
San Marino,SMR,2011,100.0
Serbia,SRB,2011,100.0
Singapore,SGP,2011,100.0
Slovak Republic,SVK,2011,100.0
Slovenia,SVN,2011,100.0
Solomon Islands,SLB,2011,38.6799926757813
Spain,ESP,2011,100.0
Sweden,SWE,2011,100.0
Switzerland,CHE,2011,100.0
Tajikistan,TJK,2011,98.7168579101563
Thailand,THA,2011,99.3518371582031
Timor-Leste,TLS,2011,52.6573677062988
Tonga,TON,2011,92.1754531860352
Turkiye,TUR,2011,100.0
Turkmenistan,TKM,2011,99.8774108886719
Tuvalu,TUV,2011,96.8707504272461
Ukraine,UKR,2011,100.0
United Kingdom,GBR,2011,100.0
Uzbekistan,UZB,2011,99.9614410400391
Vanuatu,VUT,2011,41.9353294372559
Vietnam,VNM,2011,99.0
Albania,ALB,2012,99.9000015258789
American Samoa,ASM,2012,93.36750255383943
Andorra,AND,2012,100.0
Armenia,ARM,2012,99.6289672851563
Australia,AUS,2012,100.0
Austria,AUT,2012,100.0
Azerbaijan,AZE,2012,100.0
Belarus,BLR,2012,100.0
Belgium,BEL,2012,100.0
Bosnia and Herzegovina,BIH,2012,100.0
Brunei Darussalam,BRN,2012,100.0
Bulgaria,BGR,2012,100.0
Cambodia,KHM,2012,53.9305648803711
Channel Islands,CHI,2012,100.0
China,CHN,2012,99.9619293212891
Croatia,HRV,2012,100.0
Cyprus,CYP,2012,100.0
Czechia,CZE,2012,100.0
Denmark,DNK,2012,100.0
Estonia,EST,2012,100.0
Faroe Islands,FRO,2012,100.0
Fiji,FJI,2012,91.0708312988281
Finland,FIN,2012,100.0
France,FRA,2012,100.0
French Polynesia,PYF,2012,100.0
Georgia,GEO,2012,100.0
Germany,DEU,2012,100.0
Gibraltar,GIB,2012,100.0
Greece,GRC,2012,100.0
