CountryName,CountryCode,Year,GDP
Albania,ALB,2010,11926922828.9911
American Samoa,ASM,2010,573000000.0
Andorra,AND,2010,3449925738.86069
Armenia,ARM,2010,9260284937.79781
Australia,AUS,2010,1147589183475.73
Austria,AUT,2010,392275107258.667
Azerbaijan,AZE,2010,52909294791.9262
Belarus,BLR,2010,57222490768.7143
Belgium,BEL,2010,481420882905.001
Bosnia and Herzegovina,BIH,2010,17176781065.8902
Brunei Darussalam,BRN,2010,13707370737.0737
Bulgaria,BGR,2010,50682061053.2016
Cambodia,KHM,2010,11242275198.9783
Channel Islands,CHI,2010,395967329824.6849
China,CHN,2010,6087163874510.73
Croatia,HRV,2010,60426018629.2992
Cyprus,CYP,2010,25732432719.0773
Czechia,CZE,2010,209069940963.177
Denmark,DNK,2010,321995279401.502
Estonia,EST,2010,19523477325.6235
Faroe Islands,FRO,2010,2322202663.53728
Fiji,FJI,2010,3140508835.9485
Finland,FIN,2010,249424310816.667
France,FRA,2010,2645187882116.67
French Polynesia,PYF,2010,395967329824.6849
Georgia,GEO,2010,12243505582.6741
Germany,DEU,2010,3399667820000.01
Gibraltar,GIB,2010,395967329824.6849
Greece,GRC,2010,297124961971.501
Greenland,GRL,2010,2503156060.52524
Guam,GUM,2010,4949000000.0
"Hong Kong SAR, China",HKG,2010,228637697575.04
Hungary,HUN,2010,132231134158.608
Iceland,ISL,2010,13751161917.7398
Indonesia,IDN,2010,755094160363.071
Ireland,IRL,2010,221876011283.5
Isle of Man,IMN,2010,5920177688.50433
Italy,ITA,2010,2136099955236.67
Japan,JPN,2010,5759071769013.11
Kazakhstan,KAZ,2010,148047348240.643
Kiribati,KIR,2010,155299728.488133
"Korea, Dem. People's Rep.",PRK,2010,395967329824.6849
"Korea, Rep.",KOR,2010,1144066965324.49
Kosovo,XKX,2010,5344014317.91065
Kyrgyz Republic,KGZ,2010,4794357795.07139
Lao PDR,LAO,2010,7131773632.71369
Latvia,LVA,2010,23956163076.5575
Liechtenstein,LIE,2010,5082366478.08994
Lithuania,LTU,2010,37128694028.243
