countries,alpha-2,alpha-3,region,sub-region,latitude,longitude,gdp_2010,gdp_2011,gdp_2012,gdp_2013,gdp_2014,gdp_2015,gdp_2016,gdp_2017,gdp_2018,gdp_2019,gdp_2020,gdp_2021,hbd_2010,hbd_2011,hbd_2012,hbd_2013,hbd_2014,hbd_2015,hbd_2016,hbd_2017,hbd_2018,hbd_2019,hbd_2020,hbd_2021,ate_2010,ate_2011,ate_2012,ate_2013,ate_2014,ate_2015,ate_2016,ate_2017,ate_2018,ate_2019,ate_2020,ate_2021
Albania,AL,ALB,Europe,Southern Europe,41.153332,20.168331,11926922828.9911,12890764531.3284,12319830437.3467,12776220507.0162,13228147516.1168,11386850129.8411,11861199830.8396,13019689336.6919,15156432309.8977,15401830754.0773,15131866270.5936,18260043499.8068,2.99,2.88,2.88,2.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,99.9000015258789,100.0,99.9499969482422,99.9800033569336,99.8899993896484,99.8899993896484,100.0,100.0,100.0,0.0
American Samoa,AS,ASM,Oceania,Polynesia,-14.270972,-170.132217,573000000.0,570000000.0,640000000.0,638000000.0,643000000.0,673000000.0,671000000.0,612000000.0,639000000.0,648000000.0,709000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andorra,AD,AND,Europe,Southern Europe,42.546245,1.601554,3449925738.86069,3629133574.27783,3188652765.36184,3193512950.02419,3271685596.66321,2789881258.50362,2896610479.73077,3000162081.11976,3218419896.9641,3155149347.80639,2891001149.3611,3329910723.76078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Armenia,AM,ARM,Asia,Western Asia,40.069099,45.038189,9260284937.79781,10142111334.4961,10619320048.5857,11121465767.4067,11609512939.7542,10553337672.9872,10546135160.031,11527458565.7334,12457941907.0333,13619291361.2814,12641209802.112,13861183873.5931,3.73,3.74,4.05,4.06,4.16,4.2,0.0,0.0,0.0,0.0,0.0,0.0,99.8000030517578,99.6057968139648,99.6289672851563,99.4199981689453,99.7099990844727,100.0,99.8000030517578,99.6999969482422,99.9000015258789,100.0,100.0,0.0
Australia,AU,AUS,Oceania,Australia and New Zealand,-25.274398,133.775136,1147589183475.73,1397907916789.9,1546508558465.66,1576335282651.07,1467504819608.92,1350534154255.76,1206685107002.47,1326882872011.46,1428529571351.06,1391952510370.48,1327836171068.51,1542659899992.54,3.78,3.79,3.75,3.74,3.79,3.82,3.84,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Austria,AT,AUT,Europe,Western Europe,47.516231,14.550072,392275107258.667,431685217367.511,409401816050.531,430190979705.962,442584815286.034,381971148530.543,395837353031.499,417261151844.977,455168151938.941,445011872704.47,433258467676.515,477082467454.295,7.65,7.68,7.67,7.64,7.58,7.54,7.42,7.37,7.27,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Azerbaijan,AZ,AZE,Asia,Western Asia,40.143105,47.576927,52909294791.9262,65951627200.2026,69683935845.2139,74164435946.4627,75244294275.1498,53074370486.0433,37867518957.1975,40865558912.3867,47112941176.4706,48174235294.1176,42693000000.0,54622176470.5882,5.06,4.62,4.65,4.69,4.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.9437942504883,99.9000015258789,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Belarus,BY,BLR,Europe,Eastern Europe,53.709807,27.953389,57222490768.7143,61757788944.7236,65685102554.8759,75527984234.2342,78813839984.3506,56454734396.5842,47722657820.6675,54726595249.1849,60031262269.3365,64409647193.8044,61489588894.8211,68218816484.1226,11.45,11.25,11.27,11.05,10.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Belgium,BE,BEL,Europe,Western Europe,50.503887,4.469936,481420882905.001,523330354138.133,496152879924.727,521791015247.06,535390200131.018,462335574841.484,476062757356.927,502764720556.354,543347368038.353,535376258146.666,521676942134.632,599879025377.51,6.12,6.05,5.99,5.93,5.85,5.83,5.76,5.66,5.62,5.58,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Bosnia and Herzegovina,BA,BIH,Europe,Southern Europe,43.915886,17.679076,17176781065.8902,18644723860.9709,17221192487.0296,18172335776.3301,18560861397.5577,16219819343.5214,16914287593.2899,18079076426.8667,20177422311.0773,20201323282.5451,19955120004.6604,22571512867.2816,3.4,3.46,3.5,3.5,3.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,99.7057800292969,100.0,99.5,100.0,99.6999969482422,100.0,100.0,100.0,100.0,100.0,0.0
